full pathogen name,similarity value,used tools,coverage ratio,Length of that exact read,quality of read
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",97.67,BLASTN,0.25,170,13.21
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",97.67,BLASTN,0.25,170,13.21
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",97.56,BLASTN,0.35,118,18.49
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",97.56,BLASTN,0.35,118,18.49
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",97.50,BLASTN,0.32,125,16.10
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",97.50,BLASTN,0.32,125,16.10
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",94.00,BLASTN,0.30,165,12.18
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",94.00,BLASTN,0.30,165,12.18
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",92.16,BLASTN,0.32,161,21.47
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",92.16,BLASTN,0.32,161,21.47
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",92.00,BLASTN,0.32,156,20.63
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",92.00,BLASTN,0.32,156,20.63
