full pathogen name,similarity value,used tools,coverage ratio,Length of that exact read,quality of read
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.38,104,15.95
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.23,181,17.78
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.23,181,17.78
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.23,180,15.64
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.23,180,15.64
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.26,190,20.93
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.26,190,20.93
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.22,174,17.29
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.22,174,17.29
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.19,209,17.04
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.19,209,17.04
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.28,179,19.47
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.28,179,19.47
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.26,193,21.49
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.26,193,21.49
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.15,326,28.59
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.15,326,28.59
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.27,186,16.82
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.27,186,16.82
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.16,292,24.33
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.16,292,24.33
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.20,247,17.77
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.15,247,17.77
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.20,247,17.77
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.15,247,17.77
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.14,347,16.72
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.14,347,16.72
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.23,208,21.34
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.23,208,21.34
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.25,203,11.41
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.25,203,11.41
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.25,203,22.61
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.25,203,22.61
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.29,173,19.14
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.29,173,19.14
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.29,173,22.01
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.29,173,22.01
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.25,193,16.01
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.25,193,16.01
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.19,258,20.06
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.19,258,20.06
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.19,258,20.06
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.19,258,20.06
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.08,664,26.97
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.08,664,26.97
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.27,185,20.86
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.27,185,20.86
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.26,193,14.38
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.26,193,14.38
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.25,201,21.77
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.25,201,21.77
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.25,167,13.46
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.25,167,13.46
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",100.00,BLASTN,0.14,325,21.54
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",100.00,BLASTN,0.14,325,21.54
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",98.04,BLASTN,0.16,312,25.77
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",98.04,BLASTN,0.16,312,25.77
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",98.00,BLASTN,0.32,157,17.46
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",98.00,BLASTN,0.32,157,17.46
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",98.00,BLASTN,0.16,318,26.52
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",98.00,BLASTN,0.16,318,26.52
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",98.00,BLASTN,0.19,259,18.52
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",98.00,BLASTN,0.19,259,18.52
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",98.00,BLASTN,0.28,179,18.88
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",98.00,BLASTN,0.28,179,18.88
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",98.00,BLASTN,0.17,294,24.86
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",98.00,BLASTN,0.17,294,24.86
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",98.00,BLASTN,0.20,249,11.15
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",98.00,BLASTN,0.20,249,11.15
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",98.00,BLASTN,0.26,189,14.52
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",98.00,BLASTN,0.26,189,14.52
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",97.96,BLASTN,0.26,190,20.93
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",97.96,BLASTN,0.26,190,20.93
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",97.92,BLASTN,0.28,174,14.99
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",97.92,BLASTN,0.28,174,14.99
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",97.87,BLASTN,0.27,171,15.56
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",97.87,BLASTN,0.27,171,15.56
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",97.67,BLASTN,0.29,147,19.58
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",97.67,BLASTN,0.29,147,19.58
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",97.56,BLASTN,0.21,191,16.03
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",97.56,BLASTN,0.21,191,16.03
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",97.50,BLASTN,0.25,157,17.46
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",97.50,BLASTN,0.25,157,17.46
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",96.15,BLASTN,0.33,158,19.19
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",96.15,BLASTN,0.33,158,19.19
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",96.08,BLASTN,0.19,271,20.54
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",96.08,BLASTN,0.19,271,20.54
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",96.00,BLASTN,0.20,254,17.50
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",96.00,BLASTN,0.20,254,17.50
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",96.00,BLASTN,0.31,162,13.01
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",96.00,BLASTN,0.31,162,13.01
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",96.00,BLASTN,0.15,332,30.32
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",96.00,BLASTN,0.15,332,30.32
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",94.23,BLASTN,0.30,176,17.06
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",94.23,BLASTN,0.30,176,17.06
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",94.12,BLASTN,0.06,870,30.34
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",94.12,BLASTN,0.06,870,30.34
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",94.00,BLASTN,0.20,247,19.20
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",94.00,BLASTN,0.20,247,19.20
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",94.00,BLASTN,0.20,247,19.20
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",94.00,BLASTN,0.20,247,19.20
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",94.00,BLASTN,0.35,144,16.79
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",94.00,BLASTN,0.35,144,16.79
"gi|849255230|ref|NC_027382.1| Enterobacteria phage SfMu, complete genome",92.45,BLASTN,0.31,170,12.58
"gi|9633494|ref|NC_000929.1| Enterobacteria phage Mu, complete genome",92.45,BLASTN,0.31,170,12.58
